intra_test_acc,cross_test_acc,train_acc,learning_rate,batch_size,num_epochs,optimizer,weight_decay,dropout_rate,num_conv_layers,conv_layer_sizes,kernel_size,stride,padding,maxpool,use_batchnorm
0.15,0.1351190476190476,0.1390625,0.01,128,50,sgd,0.0001,0.5,2,"[16, 32, 64]",3,2,1,2,False
0.15,0.12916666666666668,0.1578125,0.01,64,70,sgd,0.0001,0.3,3,"[32, 64, 128]",5,1,1,2,False
0.1375,0.08214285714285714,0.1328125,0.001,128,50,sgd,0.0001,0.0,2,"[16, 32, 64]",3,1,1,1,False
0.13125,0.11428571428571428,0.1421875,0.001,64,70,sgd,0.0001,0.5,3,"[32, 64, 128]",5,1,1,2,True
0.125,0.0869047619047619,0.1359375,0.001,64,70,sgd,0.0,0.5,3,"[32, 64, 128]",3,1,1,2,True
0.125,0.09702380952380953,0.115625,0.01,64,30,sgd,0.0,0.3,3,"[16, 32, 64]",3,2,1,1,False
0.125,0.10416666666666667,0.115625,0.001,32,30,sgd,0.0001,0.3,2,"[32, 64, 128]",5,1,1,2,True
0.11875,0.11369047619047619,0.11875,0.01,32,30,adam,0.0001,0.5,3,"[16, 32, 64]",3,2,1,1,False
0.11875,0.08035714285714286,0.1109375,0.001,128,50,sgd,0.0,0.0,3,"[16, 32, 64]",5,1,1,1,True
0.1125,0.09464285714285714,0.121875,0.001,64,30,sgd,0.0001,0.5,3,"[32, 64, 128]",3,1,1,2,True
0.1125,0.10416666666666667,0.1203125,0.001,32,30,sgd,0.0001,0.3,3,"[16, 32, 64]",5,1,1,2,False
0.1125,0.1,0.1265625,0.0001,32,70,sgd,0.0001,0.0,3,"[32, 64, 128]",3,2,1,2,False
0.10625,0.06785714285714285,0.0921875,0.0001,32,30,sgd,0.0,0.0,2,"[16, 32, 64]",3,1,1,2,False
0.10625,0.0988095238095238,0.121875,0.0001,128,50,sgd,0.0001,0.3,2,"[32, 64, 128]",3,1,1,1,True
0.10625,0.11190476190476191,0.1234375,0.0001,32,50,sgd,0.0001,0.0,2,"[32, 64, 128]",3,1,1,2,False
0.1,0.1,0.1,0.1,32,50,adam,0.0001,0.3,3,"[16, 32, 64]",3,1,1,2,True
0.1,0.1,0.1,0.1,32,30,adam,0.0,0.3,2,"[32, 64, 128]",3,2,1,1,False
0.1,0.1,0.1,0.1,128,30,adam,0.0001,0.0,2,"[16, 32, 64]",3,2,1,2,False
0.1,0.1005952380952381,0.0984375,0.0001,32,50,sgd,0.0,0.0,2,"[32, 64, 128]",3,2,1,1,True
0.1,0.1,0.1,0.01,32,30,adam,0.0001,0.0,2,"[16, 32, 64]",5,1,1,2,False
0.1,0.1,0.1,0.1,32,70,adam,0.0001,0.3,3,"[16, 32, 64]",3,2,1,2,True
0.1,0.1,0.1,0.1,32,70,adam,0.0001,0.0,3,"[32, 64, 128]",3,1,1,2,True
0.1,0.1,0.1,0.1,64,70,adam,0.0001,0.3,3,"[16, 32, 64]",5,1,1,2,True
0.1,0.1,0.1,0.1,64,50,adam,0.0001,0.5,2,"[16, 32, 64]",3,1,1,2,True
0.1,0.08988095238095238,0.096875,0.0001,32,70,sgd,0.0001,0.3,3,"[16, 32, 64]",5,2,1,1,True
0.1,0.1,0.1,0.01,32,50,adam,0.0,0.0,2,"[32, 64, 128]",5,2,1,1,False
0.1,0.1,0.1,0.1,32,70,adam,0.0,0.5,2,"[16, 32, 64]",5,1,1,1,False
0.1,0.1,0.1,0.1,32,70,adam,0.0,0.3,2,"[32, 64, 128]",5,1,1,2,False
0.1,0.1,0.1,0.1,32,50,adam,0.0001,0.3,3,"[16, 32, 64]",5,2,1,2,False
0.1,0.1,0.1,0.1,128,50,adam,0.0001,0.5,3,"[32, 64, 128]",3,2,1,2,False
0.1,0.1,0.1,0.01,128,30,adam,0.0,0.0,2,"[32, 64, 128]",5,2,1,2,False
0.1,0.1,0.1,0.1,128,30,adam,0.0,0.0,3,"[16, 32, 64]",5,1,1,2,False
0.1,0.1,0.1,0.1,64,30,adam,0.0,0.3,2,"[16, 32, 64]",5,2,1,2,True
0.1,0.10833333333333334,0.115625,0.001,128,30,sgd,0.0,0.0,3,"[32, 64, 128]",3,1,1,2,False
0.1,0.1,0.1,0.1,32,50,adam,0.0001,0.0,3,"[32, 64, 128]",3,1,1,2,False
0.1,0.1,0.1,0.01,64,70,adam,0.0,0.3,2,"[16, 32, 64]",3,1,1,2,False
0.1,0.0994047619047619,0.1,0.0001,32,50,sgd,0.0001,0.3,2,"[32, 64, 128]",5,1,1,2,True
0.1,0.1,0.1,0.01,32,70,adam,0.0001,0.0,2,"[32, 64, 128]",5,1,1,2,False
0.1,0.1,0.1,0.1,128,70,adam,0.0,0.3,2,"[16, 32, 64]",3,2,1,2,False
0.1,0.1,0.1,0.1,64,70,adam,0.0001,0.3,3,"[32, 64, 128]",3,2,1,1,True
0.1,0.1,0.1,0.01,32,70,adam,0.0001,0.5,2,"[32, 64, 128]",3,1,1,1,False
0.1,0.1,0.1,0.1,128,70,adam,0.0001,0.5,3,"[16, 32, 64]",3,1,1,2,False
0.09375,0.09583333333333334,0.0828125,0.0001,64,50,sgd,0.0,0.3,3,"[16, 32, 64]",3,2,1,1,False
0.09375,0.08511904761904762,0.096875,0.001,64,50,sgd,0.0001,0.5,2,"[16, 32, 64]",3,2,1,2,True
0.09375,0.11666666666666667,0.1,0.0001,32,30,sgd,0.0,0.3,3,"[32, 64, 128]",3,2,1,2,False
0.09375,0.10357142857142858,0.1015625,0.0001,32,50,sgd,0.0001,0.5,2,"[16, 32, 64]",3,1,1,1,False
0.09375,0.0994047619047619,0.0765625,0.0001,64,50,sgd,0.0001,0.3,2,"[32, 64, 128]",5,2,1,2,False
0.06875,0.10178571428571428,0.0984375,0.001,64,70,sgd,0.0,0.0,3,"[16, 32, 64]",3,2,1,1,True
0.06875,0.10297619047619047,0.0921875,0.0001,128,50,sgd,0.0001,0.3,2,"[16, 32, 64]",3,1,1,1,True
0.0625,0.09761904761904762,0.078125,0.0001,128,70,sgd,0.0001,0.3,2,"[32, 64, 128]",5,1,1,2,False
0.04375,0.08988095238095238,0.0515625,0.0001,64,30,sgd,0.0,0.5,2,"[32, 64, 128]",3,2,1,2,True
